filename, language, Properties, JSON, TypeScript, HTML, SCSS, CSS, Markdown, XML, comment, blank, total
.editorconfig, Properties, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
README.md, Markdown, 0, 0, 0, 0, 0, 0, 17, 0, 0, 18, 35
angular.json, JSON, 0, 212, 0, 0, 0, 0, 0, 0, 77, 0, 289
e2e\src\app.e2e-spec.ts, TypeScript, 0, 0, 18, 0, 0, 0, 0, 0, 1, 5, 24
e2e\src\app.po.ts, TypeScript, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
e2e\tsconfig.e2e.json, JSON, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
e2e\tsconfig.json, JSON, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
ngsw-config.json, JSON, 0, 9, 0, 0, 0, 0, 0, 0, 48, 0, 57
package-lock.json, JSON, 0, 11005, 0, 0, 0, 0, 0, 0, 0, 1, 11006
package.json, JSON, 0, 118, 0, 0, 0, 0, 0, 0, 0, 1, 119
proxy.conf.json, JSON, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
src\@fuse\animations\index.ts, TypeScript, 0, 0, 377, 0, 0, 0, 0, 0, 3, 27, 407
src\@fuse\components\confirm-dialog\confirm-dialog.component.html, HTML, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
src\@fuse\components\confirm-dialog\confirm-dialog.component.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
src\@fuse\components\confirm-dialog\confirm-dialog.component.ts, TypeScript, 0, 0, 16, 0, 0, 0, 0, 0, 5, 4, 25
src\@fuse\components\confirm-dialog\confirm-dialog.module.ts, TypeScript, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
src\@fuse\components\countdown\countdown.component.html, HTML, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
src\@fuse\components\countdown\countdown.component.scss, SCSS, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
src\@fuse\components\countdown\countdown.component.ts, TypeScript, 0, 0, 63, 0, 0, 0, 0, 0, 31, 17, 111
src\@fuse\components\countdown\countdown.module.ts, TypeScript, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
src\@fuse\components\countdown\countdown.theme.scss, SCSS, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
src\@fuse\components\demo\demo-content\demo-content.component.html, HTML, 0, 0, 0, 69, 0, 0, 0, 0, 2, 13, 84
